distribution_id,simulation_type,n_samples,metadata.theta_background_id,metadata.theta_blur_sigma,metadata.theta_brightness_shift,metadata.theta_clutter_count,metadata.theta_color_shift_b,metadata.theta_color_shift_g,metadata.theta_color_shift_r,metadata.theta_noise_std
dist_14,simulation_1,32,0,1.230030667422048,-0.23230845607382905,16,0.13557296627372722,0.05869765254652698,0.16344265879696473,0.33754226175905855
dist_15,simulation_1,32,3,2.2034347441574713,0.23943131056733713,16,-0.08007847057846637,-0.17157715227811357,-0.11970852783289254,0.17938526562235388
dist_16,simulation_1,32,3,0.12711331055140038,0.02284553136236339,8,-0.12227256273033207,-0.16725923746686797,-0.0714493241952481,0.3960220632788625
dist_17,simulation_1,32,2,2.84177394013373,-0.08455038820397331,17,0.20347680867196866,-0.10921578924504265,-0.0012106574007903215,0.1263688861776194
dist_18,simulation_1,32,0,2.477300903103392,0.016955687524372542,1,-0.09739555520814301,0.1796369888519459,-0.1145927674855993,0.060855844378304075
dist_19,simulation_1,32,3,1.0440155600242773,0.14065894835552373,13,-0.11543948001782331,0.10041519284510803,-0.058175421288299,0.2655684405578632
dist_20,simulation_1,32,2,0.45213010456776626,0.2597708187787846,6,-0.13793185467666602,-0.2020589366210265,0.039992894786120725,0.2845770230888423
dist_21,simulation_1,32,2,0.9833335244245691,0.12097613603740975,3,0.08401260430985397,-0.049836447357719554,0.19216119400291776,0.05775879473800202
dist_22,simulation_1,32,0,3.7063051113986103,0.29045772451575047,5,0.0703929798736071,0.13957776733221833,0.024288356972154423,0.2224532359642031
dist_23,simulation_1,32,0,3.599141456171135,0.30730517802925794,11,-0.07082689155478883,-0.06634778681091683,0.09942049816418502,0.3767862974162559
dist_24,simulation_1,32,3,2.6039234205351365,-0.28857782049587377,3,0.17536384200168764,0.046828785996472944,-0.21595329611851755,0.04261804667313492
dist_25,simulation_1,32,0,0.7271514017787382,0.05057566631079746,12,0.06686295381884033,-0.1213215031799605,0.0933588568870411,0.09964461363760356
dist_26,simulation_1,32,2,2.633568306806225,0.26993308651003567,12,0.030055785304747118,-0.17878310118688445,-0.05820504633845916,0.11138499094872024
dist_27,simulation_1,32,3,1.6330811271047205,0.3011939816691359,11,0.12971697285544037,0.001160320959997213,0.03383770905224487,0.20685742494552756
dist_28,simulation_1,32,2,1.1950122145910702,-0.33224933880545626,11,-0.14207130029107035,0.1938017760651472,0.1997285727988884,0.38424303189595166
dist_29,simulation_1,32,0,3.7204423941989426,-0.0374255703618136,17,0.20399278881391508,0.1553241595639983,-0.09044248699931026,0.16174104096301367
dist_30,simulation_1,32,1,0.7610217133133129,0.05646492158123062,16,0.08625311006961667,0.030826914672281713,-0.17724234178045578,0.25830302714904807
dist_31,simulation_1,32,0,2.121485644936318,0.2904823390546801,13,0.0866869255681958,0.08909299647156838,-0.06182389312830852,0.12330857074121095
dist_32,simulation_1,32,3,3.481582042660482,0.31666559952868034,9,0.0006671696587526865,0.13124987803418992,0.06598412918467478,0.29482607924332843
dist_33,simulation_1,32,3,1.4181811127074537,-0.07582444264194432,2,0.03444326185168217,-0.20418539842303365,-0.015136871939696817,0.22791073946147122
dist_34,simulation_1,32,2,0.21895097620695997,-0.3227358166533116,14,-0.06151611744571284,-0.16409337354401365,0.00978703437108186,0.3233972822044743
dist_35,simulation_1,32,2,0.43285511483863365,-0.31227233814093663,10,0.017879453411565188,0.060469156331552476,0.09948018629892735,0.4098578605778949
dist_36,simulation_1,32,1,3.2012261599031406,-0.15229245352393617,8,-0.18547919120436468,-0.2088456717655467,0.20356530135524725,0.3511116396529009
dist_37,simulation_1,32,1,0.775847849508186,-0.23580095456803007,5,0.021659732353327493,0.09442220547639085,0.07048684537386146,0.11757223304651669
dist_38,simulation_1,32,2,2.261980805458527,0.09655614414849001,8,-0.11099836401803452,-0.06337202105005701,0.11345228798956936,0.006045265035755334
dist_39,simulation_1,32,0,0.258842330473409,0.2744862231104034,12,-0.011363515140002528,-0.17695296835472127,-0.0036890149286044616,0.1988581375191919
dist_40,simulation_1,32,1,1.6541684650460542,0.09957057093122773,11,-0.2000662346162207,-0.055170449265405846,0.0553783626141906,0.2113172220060001
dist_41,simulation_1,32,2,0.7354442668649007,-0.2984848091943423,11,-0.2083350222328014,0.03774125555581892,0.19370130517739065,0.24169914716166369
dist_42,simulation_1,32,2,1.887186273724181,0.04830025630726392,17,-0.05011483909610687,0.2029238469829583,0.17835428149423682,0.08223227404409107
dist_43,simulation_1,32,0,0.17106512150400743,-0.28105663370097084,12,-0.18867699365513332,-0.07965072223914929,0.15174513600431322,0.009774212703881463
dist_44,simulation_1,32,1,0.5608428290384961,0.15861812920111562,11,0.16608768505193988,0.1034312587132567,0.13353160864577845,0.1184545167816232
dist_45,simulation_1,32,3,3.2466554834301684,0.3730687489939887,8,-0.05631204194604275,0.12162170206745876,-0.07004644190911821,0.390918064548456
dist_46,simulation_1,32,1,3.0283971647580707,0.20081629594691575,2,0.17712327797924843,0.002311043864534512,0.14364128430907108,0.1344208282360395
dist_47,simulation_1,32,1,0.14226684224713038,0.3109288390328322,2,-0.07950199902942759,0.19802726442932284,0.19826714357819353,0.2408439054922766
